M,K,N,shape_str,overlap_ratio,prefetch_ratio,ratio_str,avg_gflops,peak_gflops,avg_time_ms,std_time_ms,flops,cv,efficiency,matrix_volume
1024,1024,1024,1024x1024x1024,0.6,0.4,"o=0.6, p=0.4",121603.40230531733,125203.10288169695,0.01765973325818777,0.0005431669539816738,2147483648,3.075737022980455,12160.340230531732,1073741824
1536,1536,1536,1536x1536x1536,0.0,0.0,"o=0.0, p=0.0",253224.48020208112,261236.92001375422,0.028621866678198177,0.0006096082022304093,7247757312,2.1298687785963293,25322.44802020811,3623878656
1536,1536,1536,1536x1536x1536,1.0,1.0,"o=1.0, p=1.0",220366.23651450922,224472.1665876782,0.032889599725604055,0.0005528628146949649,7247757312,1.680965470262533,22036.623651450922,3623878656
1536,1536,1536,1536x1536x1536,0.25,0.0,"o=0.25, p=0.0",251919.48964062313,260336.11365561833,0.028770133356253304,0.0008084008867662633,7247757312,2.809861451652097,25191.948964062314,3623878656
1536,1536,1536,1536x1536x1536,0.5,0.0,"o=0.5, p=0.0",251788.79867444088,261538.5815659103,0.02878506649285555,0.0010315298315900529,7247757312,3.5835589674461183,25178.87986744409,3623878656
1536,1536,1536,1536x1536x1536,0.75,0.0,"o=0.75, p=0.0",251593.01112587322,260037.21802184763,0.028807466787596544,0.0006201555264617979,7247757312,2.1527596682982706,25159.301112587324,3623878656
1536,1536,1536,1536x1536x1536,0.0,0.25,"o=0.0, p=0.25",237197.951906852,244065.0973669319,0.030555733107030393,0.0005635234037293828,7247757312,1.844247695695853,23719.7951906852,3623878656
1536,1536,1536,1536x1536x1536,0.0,0.5,"o=0.0, p=0.5",232921.0365340652,242497.23065203603,0.031116800010204317,0.0012937026578249443,7247757312,4.157569728894658,23292.10365340652,3623878656
1536,1536,1536,1536x1536x1536,0.0,0.75,"o=0.0, p=0.75",236512.6693261002,243540.23745772644,0.030644266679883004,0.0004907931941177723,7247757312,1.601582440345889,23651.26693261002,3623878656
1536,1536,1536,1536x1536x1536,0.25,0.25,"o=0.25, p=0.25",233112.81961352317,241979.07024508461,0.031091200063625972,0.0012776406167272659,7247757312,4.1093319463792435,23311.281961352317,3623878656
1536,1536,1536,1536x1536x1536,0.5,0.5,"o=0.5, p=0.5",236208.45718106534,241979.07024508461,0.030683733336627484,0.0004039896446901757,7247757312,1.3166248065646209,23620.845718106535,3623878656
1536,1536,1536,1536x1536x1536,0.75,0.75,"o=0.75, p=0.75",236298.81852099817,245387.236910551,0.030671999789774418,0.000590441122293512,7247757312,1.9250167134206755,23629.881852099817,3623878656
1536,1536,1536,1536x1536x1536,0.25,0.75,"o=0.25, p=0.75",235888.64560603493,241463.13447813626,0.030725333529214065,0.00041592479623080045,7247757312,1.3536868390227026,23588.864560603495,3623878656
1536,1536,1536,1536x1536x1536,0.75,0.25,"o=0.75, p=0.25",236381.02194436564,244328.38426198674,0.030661333352327347,0.0009515750883920987,7247757312,3.103501982309812,23638.102194436564,3623878656
1536,1536,1536,1536x1536x1536,0.5,0.25,"o=0.5, p=0.25",236011.5474080658,240182.83242225336,0.030709333469470343,0.000511088066764281,7247757312,1.6642760002341919,23601.154740806578,3623878656
1536,1536,1536,1536x1536x1536,0.25,0.5,"o=0.25, p=0.5",235618.7149233258,243540.23745772644,0.030760533238450686,0.0008686071828193699,7247757312,2.8237715389589226,23561.87149233258,3623878656
1536,1536,1536,1536x1536x1536,0.5,0.75,"o=0.5, p=0.75",236150.990614038,242237.8733553291,0.030691200122237205,0.0006177105851901291,7247757312,2.0126635085298243,23615.0990614038,3623878656
1536,1536,1536,1536x1536x1536,0.75,0.5,"o=0.75, p=0.5",233401.08759719148,242497.23065203603,0.031052800081670284,0.0006271568134141223,7247757312,2.0196465753963286,23340.10875971915,3623878656
1536,1536,1536,1536x1536x1536,0.1,0.1,"o=0.1, p=0.1",251304.55156920443,258848.46743877575,0.028840533395608266,0.0006447256334742815,7247757312,2.2354844296064855,25130.45515692044,3623878656
1536,1536,1536,1536x1536x1536,0.9,0.9,"o=0.9, p=0.9",220623.8227968198,224917.9935575106,0.03285119992991289,0.0004962649390235452,7247757312,1.5106447864379764,22062.382279681977,3623878656
1536,1536,1536,1536x1536x1536,0.33,0.67,"o=0.33, p=0.67",236883.71384486428,242237.8733553291,0.030596266811092693,0.0005018822144880758,7247757312,1.6403380764940843,23688.37138448643,3623878656
1536,1536,1536,1536x1536x1536,0.67,0.33,"o=0.67, p=0.33",236150.99204723543,243017.61494033952,0.03069119993597269,0.0004993331128908108,7247757312,1.626958587257939,23615.099204723545,3623878656
1536,1536,1536,1536x1536x1536,0.4,0.6,"o=0.4, p=0.6",235888.6470360499,243802.39256977674,0.030725333342949548,0.0005631808132718981,7247757312,1.8329526550153101,23588.864703604988,3623878656
1536,1536,1536,1536x1536x1536,0.6,0.4,"o=0.6, p=0.4",236282.38278364882,243278.64551884838,0.03067413332561652,0.0005085002211818044,7247757312,1.6577492696660696,23628.238278364883,3623878656
2048,2048,2048,2048x2048x2048,0.0,0.0,"o=0.0, p=0.0",349608.7918113439,359351.35457313433,0.04914026645322641,0.0007415204348388136,17179869184,1.5089874116670108,34960.87918113439,8589934592
2048,2048,2048,2048x2048x2048,1.0,1.0,"o=1.0, p=1.0",291113.17408997164,305735.1464176193,0.05901439959804217,0.0020139399471474635,17179869184,3.4126246490090133,29111.317408997165,8589934592
2048,2048,2048,2048x2048x2048,0.25,0.0,"o=0.25, p=0.0",345528.6595098244,356724.8463571046,0.049720533192157745,0.001635837096113272,17179869184,3.2900634628980354,34552.86595098244,8589934592
2048,2048,2048,2048x2048x2048,0.5,0.0,"o=0.5, p=0.0",346950.31290830066,362261.07608349225,0.04951679979761441,0.0009882974938691504,17179869184,1.9958832111698057,34695.03129083006,8589934592
2048,2048,2048,2048x2048x2048,0.75,0.0,"o=0.75, p=0.0",347451.7829994729,360558.0225147841,0.049445333207647005,0.001052181490082178,17179869184,2.1279692578135,34745.17829994729,8589934592
